speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_prob
n/a,shared,0,difference,-1,undefined,0,0,undefined,undefined,undefined,undefined,-1,0.1111111111111111
n/a,shared,0,difference,-1,undefined,0.125,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.1111111111111111
n/a,shared,0,difference,-1,undefined,0.125,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.1111111111111111
n/a,shared,0,difference,-1,undefined,0.125,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.1111111111111111
n/a,shared,0,difference,-1,undefined,0.125,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.1111111111111111
n/a,shared,0,difference,-1,undefined,0.125,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.1111111111111111
n/a,shared,0,difference,-1,undefined,0.125,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.1111111111111111
n/a,shared,0,difference,-1,undefined,0.125,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.1111111111111111
n/a,shared,0,difference,-1,undefined,0.125,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.1111111111111111
a,shared,1,difference,0,They are a student,0,0,undefined,undefined,undefined,undefined,-1,0.10989010989010992
a,shared,1,difference,0,They are a student,0.125,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.11263736263736265
a,shared,1,difference,0,They are a student,0.125,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.11263736263736265
a,shared,1,difference,0,They are a student,0.125,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.11263736263736265
a,shared,1,difference,0,They are a student,0.125,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.11263736263736265
a,shared,1,difference,0,They are a student,0.125,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.10989010989010992
a,shared,1,difference,0,They are a student,0.125,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.10989010989010992
a,shared,1,difference,0,They are a student,0.125,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.10989010989010992
a,shared,1,difference,0,They are a student,0.125,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.10989010989010992
b,shared,2,difference,7,They work,0,0,undefined,undefined,undefined,undefined,-1,0.09990009990009989
b,shared,2,difference,7,They work,0.47619047619047616,0.125,outdoor,Nancy,University of New Orleans,German,0,0.10239760239760239
b,shared,2,difference,7,They work,0.047619047619047616,0.125,indoor,Sally,University of New Orleans,German,1,0.10239760239760239
b,shared,2,difference,7,They work,0.047619047619047616,0.125,outdoor,Katie,University of New Orleans,Astronomy,2,0.10239760239760239
b,shared,2,difference,7,They work,0.047619047619047616,0.125,indoor,Ina,University of New Orleans,Astronomy,3,0.10239760239760239
b,shared,2,difference,7,They work,0.047619047619047616,0.125,outdoor,Gwen,University of New Orleans,German,4,0.12262737262737261
