speaker,cg,generation,sampler,sampled_w_idx,selected_u,speaker_belief,listener_belief,location_pref,name,school/company,major,w_idx,cg_prob
n/a,shared,0,threshold,-1,undefined,0.009345794392523364,0.009345794392523364,outdoor,Nancy,University of New Orleans,German,0,0.125
n/a,shared,0,threshold,-1,undefined,0.009345794392523364,0.9345794392523364,indoor,Sally,University of New Orleans,German,1,0.125
n/a,shared,0,threshold,-1,undefined,0.009345794392523364,0.009345794392523364,outdoor,Katie,University of New Orleans,Astronomy,2,0.125
n/a,shared,0,threshold,-1,undefined,0.9345794392523364,0.009345794392523364,indoor,Ina,University of New Orleans,Astronomy,3,0.125
n/a,shared,0,threshold,-1,undefined,0.009345794392523364,0.009345794392523364,outdoor,Gwen,University of New Orleans,German,4,0.125
n/a,shared,0,threshold,-1,undefined,0.009345794392523364,0.009345794392523364,indoor,Diana,University of New Orleans,German,5,0.125
n/a,shared,0,threshold,-1,undefined,0.009345794392523364,0.009345794392523364,outdoor,Felicity,University of New Orleans,Astronomy,6,0.125
n/a,shared,0,threshold,-1,undefined,0.009345794392523364,0.009345794392523364,indoor,Tara,University of New Orleans,Astronomy,7,0.125
a,shared,1,threshold,1,They are a student,0.009345794392523364,0.009345794392523364,outdoor,Nancy,University of New Orleans,German,0,0.12577639751552797
a,shared,1,threshold,1,They are a student,0.009345794392523364,0.9345794392523364,indoor,Sally,University of New Orleans,German,1,0.12577639751552797
a,shared,1,threshold,1,They are a student,0.009345794392523364,0.009345794392523364,outdoor,Katie,University of New Orleans,Astronomy,2,0.12577639751552797
a,shared,1,threshold,1,They are a student,0.9345794392523364,0.009345794392523364,indoor,Ina,University of New Orleans,Astronomy,3,0.12577639751552797
a,shared,1,threshold,1,They are a student,0.009345794392523364,0.009345794392523364,outdoor,Gwen,University of New Orleans,German,4,0.12422360248447205
a,shared,1,threshold,1,They are a student,0.009345794392523364,0.009345794392523364,indoor,Diana,University of New Orleans,German,5,0.12422360248447205
a,shared,1,threshold,1,They are a student,0.009345794392523364,0.009345794392523364,outdoor,Felicity,University of New Orleans,Astronomy,6,0.12422360248447205
a,shared,1,threshold,1,They are a student,0.009345794392523364,0.009345794392523364,indoor,Tara,University of New Orleans,Astronomy,7,0.12422360248447205
b,shared,2,threshold,3,They study a science,0.009345794392523364,0.009345794392523364,outdoor,Nancy,University of New Orleans,German,0,0.11978704525288376
b,shared,2,threshold,3,They study a science,0.9345794392523364,0.009345794392523364,indoor,Sally,University of New Orleans,German,1,0.11978704525288376
b,shared,2,threshold,3,They study a science,0.009345794392523364,0.009345794392523364,outdoor,Katie,University of New Orleans,Astronomy,2,0.13178687577543902
b,shared,2,threshold,3,They study a science,0.009345794392523364,0.9345794392523364,indoor,Ina,University of New Orleans,Astronomy,3,0.13178687577543902
