speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_prob
n/a,shared,0,threshold,-1,undefined,0,0,undefined,undefined,undefined,undefined,-1,0.1111111111111111
n/a,shared,0,threshold,-1,undefined,0.125,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.1111111111111111
n/a,shared,0,threshold,-1,undefined,0.125,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.1111111111111111
n/a,shared,0,threshold,-1,undefined,0.125,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.1111111111111111
n/a,shared,0,threshold,-1,undefined,0.125,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.1111111111111111
n/a,shared,0,threshold,-1,undefined,0.125,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.1111111111111111
n/a,shared,0,threshold,-1,undefined,0.125,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.1111111111111111
n/a,shared,0,threshold,-1,undefined,0.125,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.1111111111111111
n/a,shared,0,threshold,-1,undefined,0.125,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.1111111111111111
a,shared,1,threshold,0,They are a student,0,0,undefined,undefined,undefined,undefined,-1,0.10989010989010992
a,shared,1,threshold,0,They are a student,0.125,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.11263736263736265
a,shared,1,threshold,0,They are a student,0.125,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.11263736263736265
a,shared,1,threshold,0,They are a student,0.125,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.11263736263736265
a,shared,1,threshold,0,They are a student,0.125,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.11263736263736265
a,shared,1,threshold,0,They are a student,0.125,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.10989010989010992
a,shared,1,threshold,0,They are a student,0.125,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.10989010989010992
a,shared,1,threshold,0,They are a student,0.125,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.10989010989010992
a,shared,1,threshold,0,They are a student,0.125,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.10989010989010992
b,shared,2,threshold,-1,NULL,0,0,undefined,undefined,undefined,undefined,-1,0.10989010989010992
b,shared,2,threshold,-1,NULL,0.47619047619047616,0.125,outdoor,Nancy,University of New Orleans,German,0,0.11263736263736265
b,shared,2,threshold,-1,NULL,0.047619047619047616,0.125,indoor,Sally,University of New Orleans,German,1,0.11263736263736265
b,shared,2,threshold,-1,NULL,0.047619047619047616,0.125,outdoor,Katie,University of New Orleans,Astronomy,2,0.11263736263736265
b,shared,2,threshold,-1,NULL,0.047619047619047616,0.125,indoor,Ina,University of New Orleans,Astronomy,3,0.11263736263736265
b,shared,2,threshold,-1,NULL,0.047619047619047616,0.125,outdoor,Gwen,University of New Orleans,German,4,0.10989010989010992
b,shared,2,threshold,-1,NULL,0.047619047619047616,0.125,indoor,Diana,University of New Orleans,German,5,0.10989010989010992
b,shared,2,threshold,-1,NULL,0.23809523809523808,0.125,outdoor,Felicity,University of New Orleans,Astronomy,6,0.10989010989010992
b,shared,2,threshold,-1,NULL,0.047619047619047616,0.125,indoor,Tara,University of New Orleans,Astronomy,7,0.10989010989010992
a,shared,3,threshold,0,They study a humanity,0,0,undefined,undefined,undefined,undefined,-1,0.0999000999000999
a,shared,3,threshold,0,They study a humanity,0.125,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.12548689685507688
a,shared,3,threshold,0,They study a humanity,0.125,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.12548689685507688
a,shared,3,threshold,0,They study a humanity,0.125,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.10239760239760239
a,shared,3,threshold,0,They study a humanity,0.125,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.10239760239760239
a,shared,3,threshold,0,They study a humanity,0.125,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.12226535089717087
a,shared,3,threshold,0,They study a humanity,0.125,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.12226535089717087
