speaker,cg,generation,sampler,sampled_w_idx,selected_u,speaker_belief,listener_belief,location_pref,name,school/company,major,w_idx,cg_prob
n/a,shared,0,weighted,-1,undefined,0.009708737864077669,0.009708737864077669,outdoor,Nancy,University of New Orleans,German,0,0.25
n/a,shared,0,weighted,-1,undefined,0.009708737864077669,0.970873786407767,outdoor,Nathan,Franklin Pierce Law Center,Astronomy,1,0.25
n/a,shared,0,weighted,-1,undefined,0.009708737864077669,0.009708737864077669,outdoor,Daniel,State University of New York at Buffalo,German,2,0.25
n/a,shared,0,weighted,-1,undefined,0.970873786407767,0.009708737864077669,indoor,Gerald,Franklin Pierce Law Center,Hispanic-American Studies,3,0.25
a,shared,1,weighted,1,They study a science,0.009708737864077669,0.009708737864077669,outdoor,Nancy,University of New Orleans,German,0,0.2469135802469136
a,shared,1,weighted,1,They study a science,0.009708737864077669,0.970873786407767,outdoor,Nathan,Franklin Pierce Law Center,Astronomy,1,0.2592592592592593
a,shared,1,weighted,1,They study a science,0.009708737864077669,0.009708737864077669,outdoor,Daniel,State University of New York at Buffalo,German,2,0.2469135802469136
a,shared,1,weighted,1,They study a science,0.970873786407767,0.009708737864077669,indoor,Gerald,Franklin Pierce Law Center,Hispanic-American Studies,3,0.2469135802469136
b,shared,2,weighted,3,They like being indoors,0.009708737864077669,0.009708737864077669,outdoor,Nancy,University of New Orleans,German,0,0.23515579071134626
b,shared,2,weighted,3,They like being indoors,0.970873786407767,0.009708737864077669,outdoor,Nathan,Franklin Pierce Law Center,Astronomy,1,0.24691358024691362
b,shared,2,weighted,3,They like being indoors,0.009708737864077669,0.009708737864077669,outdoor,Daniel,State University of New York at Buffalo,German,2,0.23515579071134626
b,shared,2,weighted,3,They like being indoors,0.009708737864077669,0.970873786407767,indoor,Gerald,Franklin Pierce Law Center,Hispanic-American Studies,3,0.2827748383303939
a,shared,3,weighted,1,They study a science,0.009708737864077669,0.009708737864077669,outdoor,Nancy,University of New Orleans,German,0,0.22395789591556786
a,shared,3,weighted,1,They study a science,0.009708737864077669,0.970873786407767,outdoor,Nathan,Franklin Pierce Law Center,Astronomy,1,0.2827748383303939
a,shared,3,weighted,1,They study a science,0.009708737864077669,0.009708737864077669,outdoor,Daniel,State University of New York at Buffalo,German,2,0.22395789591556786
a,shared,3,weighted,1,They study a science,0.970873786407767,0.009708737864077669,indoor,Gerald,Franklin Pierce Law Center,Hispanic-American Studies,3,0.26930936983847037
b,shared,4,weighted,3,They like being indoors,0.009708737864077669,0.009708737864077669,outdoor,Nancy,University of New Orleans,German,0,0.21329323420530277
b,shared,4,weighted,3,They like being indoors,0.970873786407767,0.009708737864077669,outdoor,Nathan,Franklin Pierce Law Center,Astronomy,1,0.2693093698384704
b,shared,4,weighted,3,They like being indoors,0.009708737864077669,0.009708737864077669,outdoor,Daniel,State University of New York at Buffalo,German,2,0.21329323420530277
b,shared,4,weighted,3,They like being indoors,0.009708737864077669,0.970873786407767,indoor,Gerald,Franklin Pierce Law Center,Hispanic-American Studies,3,0.3041041617509242
undefined
