speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_speaker_prob,cg_listener_prob
n/a,approx,0,threshold,-1,undefined,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.25,0.25
n/a,approx,0,threshold,-1,undefined,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.25,0.25
n/a,approx,0,threshold,-1,undefined,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.25,0.25
n/a,approx,0,threshold,-1,undefined,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.25,0.25
a,approx,1,threshold,0,They study a humanity,0.2619047619047619,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.2619047619047619,0.2619047619047619
a,approx,1,threshold,0,They study a humanity,0.2619047619047619,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.2619047619047619,0.2619047619047619
a,approx,1,threshold,0,They study a humanity,0.23809523809523808,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.23809523809523808,0.23809523809523808
a,approx,1,threshold,0,They study a humanity,0.23809523809523808,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.23809523809523808,0.23809523809523808
b,approx,2,threshold,-1,NULL,0.7692307692307693,0.2619047619047619,outdoor,Nancy,University of New Orleans,German,0,0.2619047619047619,0.2619047619047619
b,approx,2,threshold,-1,NULL,0.07692307692307693,0.2619047619047619,indoor,Sally,University of New Orleans,German,1,0.2619047619047619,0.2619047619047619
b,approx,2,threshold,-1,NULL,0.07692307692307693,0.23809523809523808,outdoor,Katie,University of New Orleans,Astronomy,2,0.23809523809523808,0.23809523809523808
b,approx,2,threshold,-1,NULL,0.07692307692307693,0.23809523809523808,indoor,Ina,University of New Orleans,Astronomy,3,0.23809523809523808,0.23809523809523808
a,approx,3,threshold,0,They like being outdoors,0.307139976377726,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.307139976377726,0.307139976377726
a,approx,3,threshold,0,They like being outdoors,0.21825396825396826,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.21825396825396826,0.21825396825396826
a,approx,3,threshold,0,They like being outdoors,0.27619335695560737,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.27619335695560737,0.27619335695560737
a,approx,3,threshold,0,They like being outdoors,0.1984126984126984,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.1984126984126984,0.1984126984126984
