speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_speaker_prob,cg_listener_prob
n/a,approx,0,threshold,-1,undefined,0,0,undefined,undefined,undefined,undefined,-1,0.1111111111111111,0.1111111111111111
n/a,approx,0,threshold,-1,undefined,0.125,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.1111111111111111,0.1111111111111111
n/a,approx,0,threshold,-1,undefined,0.125,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.1111111111111111,0.1111111111111111
n/a,approx,0,threshold,-1,undefined,0.125,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.1111111111111111,0.1111111111111111
n/a,approx,0,threshold,-1,undefined,0.125,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.1111111111111111,0.1111111111111111
n/a,approx,0,threshold,-1,undefined,0.125,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.1111111111111111,0.1111111111111111
n/a,approx,0,threshold,-1,undefined,0.125,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.1111111111111111,0.1111111111111111
n/a,approx,0,threshold,-1,undefined,0.125,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.1111111111111111,0.1111111111111111
n/a,approx,0,threshold,-1,undefined,0.125,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.1111111111111111,0.1111111111111111
a,approx,1,threshold,0,They are a student,0,0,undefined,undefined,undefined,undefined,-1,0.10869565217391305,0.1075268817204301
a,approx,1,threshold,0,They are a student,0.12654320987654322,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.1141304347826087,0.11559139784946235
a,approx,1,threshold,0,They are a student,0.12654320987654322,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.1141304347826087,0.11559139784946235
a,approx,1,threshold,0,They are a student,0.12654320987654322,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.1141304347826087,0.11559139784946235
a,approx,1,threshold,0,They are a student,0.12654320987654322,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.1141304347826087,0.11559139784946235
a,approx,1,threshold,0,They are a student,0.12345679012345678,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.10869565217391305,0.1075268817204301
a,approx,1,threshold,0,They are a student,0.12345679012345678,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.10869565217391305,0.1075268817204301
a,approx,1,threshold,0,They are a student,0.12345679012345678,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.10869565217391305,0.1075268817204301
a,approx,1,threshold,0,They are a student,0.12345679012345678,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.10869565217391305,0.1075268817204301
b,approx,2,threshold,-1,NULL,0,0,undefined,undefined,undefined,undefined,-1,0.1075268817204301,0.10869565217391305
b,approx,2,threshold,-1,NULL,0.47619047619047616,0.12654320987654322,outdoor,Nancy,University of New Orleans,German,0,0.11559139784946235,0.1141304347826087
b,approx,2,threshold,-1,NULL,0.047619047619047616,0.12654320987654322,indoor,Sally,University of New Orleans,German,1,0.11559139784946235,0.1141304347826087
b,approx,2,threshold,-1,NULL,0.047619047619047616,0.12654320987654322,outdoor,Katie,University of New Orleans,Astronomy,2,0.11559139784946235,0.1141304347826087
b,approx,2,threshold,-1,NULL,0.047619047619047616,0.12654320987654322,indoor,Ina,University of New Orleans,Astronomy,3,0.11559139784946235,0.1141304347826087
b,approx,2,threshold,-1,NULL,0.047619047619047616,0.12345679012345678,outdoor,Gwen,University of New Orleans,German,4,0.1075268817204301,0.10869565217391305
b,approx,2,threshold,-1,NULL,0.047619047619047616,0.12345679012345678,indoor,Diana,University of New Orleans,German,5,0.1075268817204301,0.10869565217391305
b,approx,2,threshold,-1,NULL,0.23809523809523808,0.12345679012345678,outdoor,Felicity,University of New Orleans,Astronomy,6,0.1075268817204301,0.10869565217391305
b,approx,2,threshold,-1,NULL,0.047619047619047616,0.12345679012345678,indoor,Tara,University of New Orleans,Astronomy,7,0.1075268817204301,0.10869565217391305
a,approx,3,threshold,0,They study a humanity,0,0,undefined,undefined,undefined,undefined,-1,0.09057971014492755,0.0827129859387924
a,approx,3,threshold,0,They study a humanity,0.13820804369191003,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.1375847592931036,0.1492986571408791
a,approx,3,threshold,0,They study a humanity,0.13820804369191003,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.1375847592931036,0.1492986571408791
a,approx,3,threshold,0,They study a humanity,0.11503928170594836,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.09510869565217392,0.08891645988420181
a,approx,3,threshold,0,They study a humanity,0.11503928170594836,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.09510869565217392,0.08891645988420181
a,approx,3,threshold,0,They study a humanity,0.1345192290353627,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.13143697983733119,0.1377154040667305
a,approx,3,threshold,0,They study a humanity,0.1345192290353627,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.13143697983733119,0.1377154040667305
a,approx,3,threshold,0,They study a humanity,0.11223344556677889,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.09057971014492755,0.0827129859387924
a,approx,3,threshold,0,They study a humanity,0.11223344556677889,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.09057971014492755,0.0827129859387924
b,approx,4,threshold,-1,NULL,0,0,undefined,undefined,undefined,undefined,-1,0.0827129859387924,0.09057971014492755
b,approx,4,threshold,-1,NULL,0.47619047619047616,0.13820804369191003,outdoor,Nancy,University of New Orleans,German,0,0.1492986571408791,0.1375847592931036
b,approx,4,threshold,-1,NULL,0.047619047619047616,0.13820804369191003,indoor,Sally,University of New Orleans,German,1,0.1492986571408791,0.1375847592931036
b,approx,4,threshold,-1,NULL,0.047619047619047616,0.11503928170594836,outdoor,Katie,University of New Orleans,Astronomy,2,0.08891645988420181,0.09510869565217392
b,approx,4,threshold,-1,NULL,0.047619047619047616,0.11503928170594836,indoor,Ina,University of New Orleans,Astronomy,3,0.08891645988420181,0.09510869565217392
b,approx,4,threshold,-1,NULL,0.047619047619047616,0.1345192290353627,outdoor,Gwen,University of New Orleans,German,4,0.1377154040667305,0.13143697983733119
b,approx,4,threshold,-1,NULL,0.047619047619047616,0.1345192290353627,indoor,Diana,University of New Orleans,German,5,0.1377154040667305,0.13143697983733119
b,approx,4,threshold,-1,NULL,0.23809523809523808,0.11223344556677889,outdoor,Felicity,University of New Orleans,Astronomy,6,0.0827129859387924,0.09057971014492755
b,approx,4,threshold,-1,NULL,0.047619047619047616,0.11223344556677889,indoor,Tara,University of New Orleans,Astronomy,7,0.0827129859387924,0.09057971014492755
a,approx,5,threshold,0,They like being outdoors,0,0,undefined,undefined,undefined,undefined,-1,0.07548309178743963,0.06362537379907109
a,approx,5,threshold,0,They like being outdoors,0.15219301842240363,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.16332776036547628,0.1950762705909011
a,approx,5,threshold,0,They like being outdoors,0.12564367608355456,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.11465396607758632,0.11484512087759931
a,approx,5,threshold,0,They like being outdoors,0.1243874465125447,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.1155687621398963,0.10934898827149768
a,approx,5,threshold,0,They like being outdoors,0.10458116518722578,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.0792572463768116,0.0683972768340014
a,approx,5,threshold,0,They like being outdoors,0.14776565293393243,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.15623579851771427,0.17819827216185188
a,approx,5,threshold,0,They like being outdoors,0.12229020821396608,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.10953081653110931,0.10593492620517732
a,approx,5,threshold,0,They like being outdoors,0.12110842758566466,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.1104594664165267,0.1009483974608292
a,approx,5,threshold,0,They like being outdoors,0.10203040506070807,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.07548309178743963,0.06362537379907109
b,approx,6,threshold,-1,NULL,0,0,undefined,undefined,undefined,undefined,-1,0.06362537379907109,0.07548309178743963
b,approx,6,threshold,-1,NULL,0.47619047619047616,0.15219301842240363,outdoor,Nancy,University of New Orleans,German,0,0.1950762705909011,0.16332776036547628
b,approx,6,threshold,-1,NULL,0.047619047619047616,0.12564367608355456,indoor,Sally,University of New Orleans,German,1,0.11484512087759931,0.11465396607758632
b,approx,6,threshold,-1,NULL,0.047619047619047616,0.1243874465125447,outdoor,Katie,University of New Orleans,Astronomy,2,0.10934898827149768,0.1155687621398963
b,approx,6,threshold,-1,NULL,0.047619047619047616,0.10458116518722578,indoor,Ina,University of New Orleans,Astronomy,3,0.0683972768340014,0.0792572463768116
b,approx,6,threshold,-1,NULL,0.047619047619047616,0.14776565293393243,outdoor,Gwen,University of New Orleans,German,4,0.17819827216185188,0.15623579851771427
b,approx,6,threshold,-1,NULL,0.047619047619047616,0.12229020821396608,indoor,Diana,University of New Orleans,German,5,0.10593492620517732,0.10953081653110931
b,approx,6,threshold,-1,NULL,0.23809523809523808,0.12110842758566466,outdoor,Felicity,University of New Orleans,Astronomy,6,0.1009483974608292,0.1104594664165267
b,approx,6,threshold,-1,NULL,0.047619047619047616,0.10203040506070807,indoor,Tara,University of New Orleans,Astronomy,7,0.06362537379907109,0.07548309178743963
a,approx,7,threshold,0,They are a student,0,0,undefined,undefined,undefined,undefined,-1,0.06290257648953301,0.04894259523005469
a,approx,7,threshold,0,They are a student,0.168392256614302,0.47619047619047616,outdoor,Nancy,University of New Orleans,German,0,0.19117057339344443,0.2536125945748401
a,approx,7,threshold,0,They are a student,0.13638447437712828,0.047619047619047616,indoor,Sally,University of New Orleans,German,1,0.1361770479501328,0.14027789726372647
a,approx,7,threshold,0,They are a student,0.13507586758662338,0.047619047619047616,outdoor,Katie,University of New Orleans,Astronomy,2,0.13663398150448192,0.13281159256608385
a,approx,7,threshold,0,They are a student,0.11178858888169976,0.047619047619047616,indoor,Ina,University of New Orleans,Astronomy,3,0.09669150961841622,0.0791961129599646
a,approx,7,threshold,0,They are a student,0.1343324117581204,0.047619047619047616,outdoor,Gwen,University of New Orleans,German,4,0.13019649876476186,0.13707559397065533
a,approx,7,threshold,0,They are a student,0.111172916558151,0.047619047619047616,indoor,Diana,University of New Orleans,German,5,0.09127568044259109,0.08148840477321333
a,approx,7,threshold,0,They are a student,0.11009857053242243,0.23809523809523808,outdoor,Felicity,University of New Orleans,Astronomy,6,0.09204955534710557,0.07765261343140709
a,approx,7,threshold,0,They are a student,0.0927549136915528,0.047619047619047616,indoor,Tara,University of New Orleans,Astronomy,7,0.06290257648953301,0.04894259523005469
b,approx,8,threshold,-1,NULL,0,0,undefined,undefined,undefined,undefined,-1,0.04894259523005469,0.06290257648953301
b,approx,8,threshold,-1,NULL,0.47619047619047616,0.168392256614302,outdoor,Nancy,University of New Orleans,German,0,0.2536125945748401,0.19117057339344443
b,approx,8,threshold,-1,NULL,0.047619047619047616,0.13638447437712828,indoor,Sally,University of New Orleans,German,1,0.14027789726372647,0.1361770479501328
