speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_prob
n/a,shared,0,weighted,-1,undefined,0.07692307692307693,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.25
n/a,shared,0,weighted,-1,undefined,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.25
n/a,shared,0,weighted,-1,undefined,0.07692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.25
n/a,shared,0,weighted,-1,undefined,0.7692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.25
a,shared,1,weighted,0,They study a humanity,0.07692307692307693,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.2619047619047619
a,shared,1,weighted,0,They study a humanity,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.2619047619047619
a,shared,1,weighted,0,They study a humanity,0.07692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.23809523809523808
a,shared,1,weighted,0,They study a humanity,0.7692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.23809523809523808
b,shared,2,weighted,3,They study a science,0.7692307692307693,0.07692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.21825396825396828
b,shared,2,weighted,3,They study a science,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.21825396825396828
b,shared,2,weighted,3,They study a science,0.07692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.28174603174603174
b,shared,2,weighted,3,They study a science,0.07692307692307693,0.7692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.28174603174603174
a,shared,3,weighted,2,They like being outdoors,0.07692307692307693,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.25045160512907344
a,shared,3,weighted,2,They like being outdoors,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.1818783068783069
a,shared,3,weighted,2,They like being outdoors,0.07692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.3328817282042599
a,shared,3,weighted,2,They like being outdoors,0.7692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.23478835978835974
b,shared,4,weighted,0,They study a humanity,0.7692307692307693,0.07692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.31039531217010996
b,shared,4,weighted,0,They study a humanity,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.21654628116937363
b,shared,4,weighted,0,They study a humanity,0.07692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.27740144017021656
b,shared,4,weighted,0,They study a humanity,0.07692307692307693,0.7692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.1956569664902998
a,shared,5,weighted,0,They study a humanity,0.07692307692307693,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.36265549097513944
a,shared,5,weighted,0,They study a humanity,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.24312917014109695
a,shared,5,weighted,0,They study a humanity,0.07692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.2311678668085138
a,shared,5,weighted,0,They study a humanity,0.7692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.16304747207524983
b,shared,6,weighted,3,They study a science,0.7692307692307693,0.07692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.30221290914594956
b,shared,6,weighted,3,They study a science,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.20260764178424745
b,shared,6,weighted,3,They study a science,0.07692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.29591285384756244
b,shared,6,weighted,3,They study a science,0.07692307692307693,0.7692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.1992665952222406
a,shared,7,weighted,0,They study a humanity,0.07692307692307693,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.35797863183994916
a,shared,7,weighted,0,They study a humanity,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.22937182726854832
a,shared,7,weighted,0,They study a humanity,0.07692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.24659404487296865
a,shared,7,weighted,0,They study a humanity,0.7692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.1660554960185338
b,shared,8,weighted,3,They like being indoors,0.7692307692307693,0.07692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.29831552653329096
b,shared,8,weighted,3,They like being indoors,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.2929997163391908
b,shared,8,weighted,3,They like being indoors,0.07692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.20549503739414055
b,shared,8,weighted,3,They like being indoors,0.07692307692307693,0.7692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.20318971973337768
undefined
