speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_prob
n/a,shared,0,weighted,-1,undefined,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.25
n/a,shared,0,weighted,-1,undefined,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.25
n/a,shared,0,weighted,-1,undefined,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.25
n/a,shared,0,weighted,-1,undefined,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.25
a,shared,1,weighted,0,They study a humanity,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.2619047619047619
a,shared,1,weighted,0,They study a humanity,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.2619047619047619
a,shared,1,weighted,0,They study a humanity,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.23809523809523808
a,shared,1,weighted,0,They study a humanity,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.23809523809523808
b,shared,2,weighted,2,They study a science,0.7692307692307693,0.25,outdoor,Nancy,University of New Orleans,German,0,0.21825396825396828
b,shared,2,weighted,2,They study a science,0.07692307692307693,0.25,indoor,Sally,University of New Orleans,German,1,0.21825396825396828
b,shared,2,weighted,2,They study a science,0.07692307692307693,0.25,outdoor,Katie,University of New Orleans,Astronomy,2,0.28174603174603174
b,shared,2,weighted,2,They study a science,0.07692307692307693,0.25,indoor,Ina,University of New Orleans,Astronomy,3,0.28174603174603174
a,shared,3,weighted,0,They study a humanity,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.26521164021164023
a,shared,3,weighted,0,They study a humanity,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.26521164021164023
a,shared,3,weighted,0,They study a humanity,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.2347883597883598
a,shared,3,weighted,0,They study a humanity,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.2347883597883598
b,shared,4,weighted,3,They study a science,0.7692307692307693,0.25,outdoor,Nancy,University of New Orleans,German,0,0.22100970017636687
b,shared,4,weighted,3,They study a science,0.07692307692307693,0.25,indoor,Sally,University of New Orleans,German,1,0.22100970017636687
b,shared,4,weighted,3,They study a science,0.07692307692307693,0.25,outdoor,Katie,University of New Orleans,Astronomy,2,0.27899029982363316
b,shared,4,weighted,3,They study a science,0.07692307692307693,0.25,indoor,Ina,University of New Orleans,Astronomy,3,0.27899029982363316
a,shared,5,weighted,3,They like being indoors,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.18417475014697238
a,shared,5,weighted,3,They like being indoors,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.25402097116763506
a,shared,5,weighted,3,They like being indoors,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.23249191651969428
a,shared,5,weighted,3,They like being indoors,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.3293123621656983
b,shared,6,weighted,0,They like being outdoors,0.7692307692307693,0.25,outdoor,Nancy,University of New Orleans,German,0,0.22336878374202923
b,shared,6,weighted,0,They like being outdoors,0.07692307692307693,0.25,indoor,Sally,University of New Orleans,German,1,0.21168414263969587
b,shared,6,weighted,0,They like being outdoors,0.07692307692307693,0.25,outdoor,Katie,University of New Orleans,Astronomy,2,0.2905201051468597
b,shared,6,weighted,0,They like being outdoors,0.07692307692307693,0.25,indoor,Ina,University of New Orleans,Astronomy,3,0.2744269684714153
a,shared,7,weighted,0,They study a humanity,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.2725854450351194
a,shared,7,weighted,0,They study a humanity,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.25662532694965146
a,shared,7,weighted,0,They study a humanity,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.24210008762238305
a,shared,7,weighted,0,They study a humanity,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.22868914039284602
b,shared,8,weighted,1,They like being indoors,0.7692307692307693,0.25,outdoor,Nancy,University of New Orleans,German,0,0.22715453752926618
b,shared,8,weighted,1,They like being indoors,0.07692307692307693,0.25,indoor,Sally,University of New Orleans,German,1,0.3039038251642719
b,shared,8,weighted,1,They like being indoors,0.07692307692307693,0.25,outdoor,Katie,University of New Orleans,Astronomy,2,0.20175007301865255
b,shared,8,weighted,1,They like being indoors,0.07692307692307693,0.25,indoor,Ina,University of New Orleans,Astronomy,3,0.26719156428780944
