speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_prob
n/a,shared,0,weighted,-1,undefined,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.25
n/a,shared,0,weighted,-1,undefined,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.25
n/a,shared,0,weighted,-1,undefined,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.25
n/a,shared,0,weighted,-1,undefined,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.25
a,shared,1,weighted,0,They study a humanity,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.2619047619047619
a,shared,1,weighted,0,They study a humanity,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.2619047619047619
a,shared,1,weighted,0,They study a humanity,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.23809523809523808
a,shared,1,weighted,0,They study a humanity,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.23809523809523808
b,shared,2,weighted,2,They study a science,0.7692307692307693,0.25,outdoor,Nancy,University of New Orleans,German,0,0.21825396825396828
b,shared,2,weighted,2,They study a science,0.07692307692307693,0.25,indoor,Sally,University of New Orleans,German,1,0.21825396825396828
b,shared,2,weighted,2,They study a science,0.07692307692307693,0.25,outdoor,Katie,University of New Orleans,Astronomy,2,0.28174603174603174
b,shared,2,weighted,2,They study a science,0.07692307692307693,0.25,indoor,Ina,University of New Orleans,Astronomy,3,0.28174603174603174
a,shared,3,weighted,3,They like being indoors,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.18187830687830692
a,shared,3,weighted,3,They like being indoors,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.2504516051290735
a,shared,3,weighted,3,They like being indoors,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.23478835978835977
a,shared,3,weighted,3,They like being indoors,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.33288172820425993
b,shared,4,weighted,2,They like being outdoors,0.7692307692307693,0.25,outdoor,Nancy,University of New Orleans,German,0,0.2201854206525324
b,shared,4,weighted,2,They like being outdoors,0.07692307692307693,0.25,indoor,Sally,University of New Orleans,German,1,0.20870967094089454
b,shared,4,weighted,2,They like being outdoors,0.07692307692307693,0.25,outdoor,Katie,University of New Orleans,Astronomy,2,0.2937034682363565
b,shared,4,weighted,2,They like being outdoors,0.07692307692307693,0.25,indoor,Ina,University of New Orleans,Astronomy,3,0.27740144017021656
a,shared,5,weighted,0,They study a humanity,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.2699187928209588
a,shared,5,weighted,0,They study a humanity,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.25416045017356365
a,shared,5,weighted,0,They study a humanity,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.24475289019696378
a,shared,5,weighted,0,They study a humanity,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.2311678668085138
b,shared,6,weighted,3,They study a science,0.7692307692307693,0.25,outdoor,Nancy,University of New Orleans,German,0,0.22493232735079902
b,shared,6,weighted,3,They study a science,0.07692307692307693,0.25,indoor,Sally,University of New Orleans,German,1,0.21180037514463637
b,shared,6,weighted,3,They study a science,0.07692307692307693,0.25,outdoor,Katie,University of New Orleans,Astronomy,2,0.29063091712949196
b,shared,6,weighted,3,They study a science,0.07692307692307693,0.25,indoor,Ina,University of New Orleans,Astronomy,3,0.27263638037507276
a,shared,7,weighted,3,They like being indoors,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.18744360612566585
a,shared,7,weighted,3,They like being indoors,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.24525590416184012
a,shared,7,weighted,3,They like being indoors,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.2421924309412433
a,shared,7,weighted,3,They like being indoors,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.3251080587712508
b,shared,8,weighted,1,They study a humanity,0.7692307692307693,0.25,outdoor,Nancy,University of New Orleans,German,0,0.22404199536258793
b,shared,8,weighted,1,They study a humanity,0.07692307692307693,0.25,indoor,Sally,University of New Orleans,German,1,0.303207596543667
b,shared,8,weighted,1,They study a humanity,0.07692307692307693,0.25,outdoor,Katie,University of New Orleans,Astronomy,2,0.2018270257843694
b,shared,8,weighted,1,They study a humanity,0.07692307692307693,0.25,indoor,Ina,University of New Orleans,Astronomy,3,0.2709233823093756
undefined
